sample,real,imag
701,0.92325854,0.38417926
702,-0.47959983,0.87748730
703,-0.82188821,-0.56964886
704,0.65331775,-0.75708383
705,0.68380004,0.72966945
706,-0.79784876,0.60285765
707,-0.51516324,-0.85709208
708,0.90673596,-0.42169890
709,0.32351151,0.94622421
710,-0.97511476,0.22170074
711,-0.11740693,-0.99308389
712,0.99993038,-0.01179814
713,-0.09394278,0.99557757
714,-0.98007423,-0.19863154
715,0.30109560,-0.95359397
716,0.91643333,0.40018737
717,-0.49479702,0.86900860
718,-0.81185085,-0.58386487
719,0.66639340,-0.74560028
720,0.67099899,0.74145830
721,-0.80821872,0.58888239
722,-0.50017029,-0.86592704
723,0.91393691,-0.40585622
724,0.30699652,0.95171064
725,-0.97882509,0.20469844
726,-0.10010771,-0.99497658
727,0.99998432,0.00560423
728,-0.11125340,0.99379206
729,-0.97646928,-0.21565653
730,0.31764427,-0.94820994
731,0.90933061,0.41607440
732,-0.50984442,0.86026663
733,-0.80156761,-0.59790415
734,0.67926729,-0.73389095
735,0.65799463,0.75302261
736,-0.81834400,0.57472873
737,-0.48502582,-0.87449986
738,0.92086118,-0.38989058
739,0.29038849,0.95690882
740,-0.98223901,0.18763407
741,-0.08277810,-0.99656802
742,0.99973536,0.02300498
743,-0.12853040,0.99170560
744,-0.97256857,-0.23261628
745,0.33409682,-0.94253874
746,0.90195239,0.43183547
747,-0.52473748,0.85126412
748,-0.79104155,-0.61176240
749,0.69193554,-0.72195929
750,0.64479095,0.76435894
751,-0.82822144,0.56040096
752,-0.46973440,-0.88280779
753,0.92750663,-0.37380677
754,0.27369249,0.96181726
755,-0.98535544,0.17051280
756,-0.06542335,-0.99785757
757,0.99918365,0.04039883
758,-0.14576855,0.98931873
759,-0.96837336,-0.24950564
760,0.35044825,-0.93658209
761,0.89430106,0.44746581
762,-0.53947169,0.84200370
763,-0.78027588,-0.62543547
764,0.70439428,-0.70980889
765,0.63139194,0.77546382
766,-0.83784813,0.54590338
767,-0.45430064,-0.89084840
768,0.93387115,-0.35760969
769,0.25691348,0.96643442
770,-0.98817354,0.15333980
771,-0.04804871,-0.99884498
772,0.99832928,0.05778053
773,-0.16296263,0.98663223
774,-0.96388483,-0.26631951
775,0.36669362,-0.93034178
776,0.88637882,0.46296072
777,-0.55404264,0.83248830
778,-0.76927388,-0.63891917
779,0.71663976,-0.69744349
780,0.61780167,0.78633392
781,-0.84722108,0.53124046
782,-0.43872926,-0.89861929
783,0.93995285,-0.34130424
784,0.24005660,0.97075891
785,-0.99069232,0.13612030
786,-0.03065944,-0.99952990
787,0.99717265,0.07514481
788,-0.18010743,0.98364693
789,-0.95910430,-0.28305283
790,0.38282800,-0.92381966
791,0.87818807,0.47831547
792,-0.56844580,0.82272071
793,-0.75803882,-0.65220940
794,0.72866827,-0.68486685
795,0.60402423,0.79696596
796,-0.85633755,0.51641655
797,-0.42302489,-0.90611804
798,0.94575000,-0.32489535
799,0.22312695,0.97478938
800,-0.99291110,0.11885951
801,-0.01326081,-0.99991208
802,0.99571395,0.09248640
803,-0.19719775,0.98036373
804,-0.95403337,-0.29970047
805,0.39884651,-0.91701770
806,0.86973137,0.49352545
807,-0.58267683,0.81270397
808,-0.74657416,-0.66530222
809,0.74047613,-0.67208266
810,0.59006381,0.80735660
811,-0.86519462,0.50143617
812,-0.40719238,-0.91334242
813,0.95126069,-0.30838799
814,0.20612966,0.97852468
815,-0.99482912,0.10156263
816,0.00414191,-0.99999142
817,0.99395370,0.10980006
818,-0.21422844,0.97678357
819,-0.94867343,-0.31625742
820,0.41474432,-0.90993798
821,0.86101121,0.50858599
822,-0.59673148,0.80244094
823,-0.73488331,-0.67819357
824,0.75205976,-0.65909493
825,0.57592458,0.81750280
826,-0.87378979,0.48630387
827,-0.39123645,-0.92029017
828,0.95648324,-0.29178718
829,0.18906985,0.98196363
830,-0.99644589,0.08423492
831,0.02154345,-0.99976790
832,0.99189240,0.12708053
833,-0.23119430,0.97290760
834,-0.94302613,-0.33271867
835,0.43051654,-0.90258271
836,0.85203022,0.52349263
837,-0.61060548,0.79193491
838,-0.72296989,-0.69087952
839,0.76341569,-0.64590752
840,0.56161088,0.82740146
841,-0.88212031,0.47102419
842,-0.37516198,-0.92695928
843,0.96141624,-0.27509791
844,0.17195271,0.98510522
845,-0.99776089,0.06688162
846,0.03893854,-0.99924159
847,0.98953068,0.14432259
848,-0.24809022,0.96873695
849,-0.93709320,-0.34907922
850,0.44615847,-0.89495397
851,0.84279114,0.53824073
852,-0.62429464,0.78118896
853,-0.71083742,-0.70335639
854,0.77454042,-0.63252443
855,0.54712707,0.83704960
856,-0.89018369,0.45560181
857,-0.35897380,-0.93334764
858,0.96605802,-0.25832525
859,0.15478341,0.98794842
860,-0.99877375,0.04950799
861,0.05632192,-0.99841267
862,0.98686928,0.16152103
863,-0.26491109,0.96427286
864,-0.93087649,-0.36533409
865,0.46166533,-0.88705420
866,0.83329678,0.55282587
867,-0.63779473,0.77020639
868,-0.69848961,-0.71562022
869,0.78543067,-0.61894965
870,0.53247744,0.84644419
871,-0.89797747,0.44004139
872,-0.34267682,-0.93945336
873,0.97040725,-0.24147427
874,0.13756716,0.99049246
875,-0.99948406,0.03211929
876,0.07368831,-0.99728131
877,0.98390895,0.17867061
878,-0.28165177,0.95951670
879,-0.92437774,-0.38147840
880,0.47703245,-0.87888569
881,0.82354999,0.56724370
882,-0.65110171,0.75899047
883,-0.68593019,-0.72766733
884,0.79608303,-0.60518742
885,0.51766646,0.85558254
886,-0.90549940,0.42434761
887,-0.32627600,-0.94527453
888,0.97446257,-0.22455008
889,0.12030917,0.99273646
890,-0.99989164,0.01472079
891,0.09103247,-0.99584794
892,0.98065060,0.19576615
893,-0.29830724,0.95446992
894,-0.91759902,-0.39750725
895,0.49225515,-0.87045097
896,0.81355375,0.58148974
897,-0.66421157,0.74754465
898,-0.67316300,-0.73949414
899,0.80649436,-0.59124178
900,0.50269866,0.86446172
901,-0.91274703,0.40852523
902,-0.30977628,-0.95080948
903,0.97822273,-0.20755781
904,0.10301467,0.99467981
905,-0.99999642,-0.00268225
906,0.10834912,-0.99411291
907,0.97709525,0.21280248
908,-0.31487241,0.94913399
909,-0.91054237,-0.41341576
910,0.50732881,-0.86175257
911,0.80331105,0.59555972
912,-0.67712027,0.73587233
913,-0.66019183,-0.75109702
914,0.81666142,-0.57711703
915,0.48757851,0.87307912
916,-0.91971827,0.39257905
917,-0.29318267,-0.95605642
918,0.98168671,-0.19050260
919,0.08568889,0.99632192
920,-0.99979830,-0.02008455
921,0.12563303,-0.99207675
922,0.97324389,0.22977443
923,-0.33134231,0.94351059
924,-0.90320987,-0.42919913
925,0.52224886,-0.85279310
926,0.79282498,0.60944939
927,-0.68982399,0.72397709
928,-0.64702064,-0.76247251
929,0.82658124,-0.56281745
930,0.47231063,0.88143218
931,-0.92641097,0.37651390
